lon,lat
23.585709,120.601817
23.585225,120.601533
23.585431,120.601382
23.584991,120.601268
23.583940,120.603197
23.584667,120.600578
23.584726,120.600191
23.584641,120.599897
23.584792,120.599571
23.584888,120.599309
23.585021,120.598888
23.585175,120.598543
23.585932,120.597291
23.586136,120.596218
23.586547,120.595428
23.586708,120.594999
23.586945,120.594588
23.587226,120.594226
23.587524,120.593879
23.587875,120.593507
23.588215,120.593295
23.589465,120.596107
23.588953,120.599278
23.588895,120.599582
23.588729,120.599747
23.588729,120.599747
23.588889,120.600796
23.589001,120.600123
23.588921,120.599953
23.590042,120.590590
23.589968,120.591139
23.592190,120.597958
23.592254,120.598359
23.593626,120.598925
23.594573,120.598571
23.593155,120.592335
23.595138,120.598575
23.595131,120.598441
23.589356,120.590789
23.588891,120.590980
23.588511,120.591175
23.588251,120.591248
23.586945,120.590970
23.587272,120.591026
23.588023,120.590911
23.588254,120.590552
23.588190,120.590440
23.588126,120.590216
23.592883,120.598781
23.592744,120.598959
23.592549,120.599045
23.592304,120.599081
23.591859,120.599127
23.591537,120.599522
23.594071,120.596729
23.594374,120.596542
23.594439,120.596500
23.596232,120.586047
23.596458,120.585712
23.596008,120.586400
23.596099,120.586693
23.596080,120.586548
23.597354,120.586162
23.593858,120.586778
23.594001,120.586045
23.594335,120.585932
23.594020,120.585068
23.594704,120.584371
23.594671,120.584298
23.594320,120.584875
23.594430,120.584823
23.584987,120.601720
23.585596,120.602354
23.586081,120.596591
23.586568,120.604286
23.597800,120.588288
23.584219,120.602288
23.525767,120.602281
23.585494,120.603749
23.585575,120.604057
23.585690,120.604315
23.586197,120.603574
23.585597,120.603296
23.597297,120.586679
23.297310,120.586465
23.598919,120.587211
23.594351,120.598382
23.593371,120.601581
23.595819,120.598399
23.594912,120.597508
23.595227,120.597378
23.594379,120.598951
23.598031,120.613272
23.594767,120.584670
23.593960,120.585139
23.593843,120.585681
23.602262,120.579323
23.589811,120.590038
23.590648,120.589769
23.590047,120.590605
23.590285,120.590367
23.586315,120.595774
23.593347,120.592418
23.597357,120.588364
23.604278,120.573386
23.603963,120.573222
23.603816,120.573110
23.603858,120.573372
23.603960,120.573739
23.601354,120.570532
23.601669,120.570199
23.601685,120.570068
23.601766,120.569575
23.598959,120.575612
23.598999,120.575776
23.598766,120.574942
23.599144,120.574779
23.597786,120.572202
23.592900,120.573936
23.589096,120.567516
23.588935,120.567362
23.588722,120.566947
23.589766,120.567837
23.590077,120.568069
23.590317,120.568169
23.595860,120.575376
23.595860,120.575376
23.595563,120.575677
23.595563,120.575677
23.595396,120.575961
23.595396,120.575961
23.596283,120.575815
23.595391,120.576456
23.595305,120.576533
23.595075,120.576663
23.594323,120.576990
23.594151,120.577134
23.594458,120.576689
23.594508,120.576469
23.595296,120.576285
23.595280,120.575828
23.596196,120.578922
23.596207,120.579218
23.596085,120.578929
23.594515,120.578151
23.594625,120.584223
23.594731,120.583898
23.594848,120.583508
23.594917,120.583146
23.594860,120.582929
23.594894,120.582449
23.594915,120.582076
23.594725,120.581584
23.593682,120.583900
23.591569,120.588648
23.590755,120.589963
23.591289,120.588595
23.591018,120.588730
23.590651,120.588964
23.594964,120.578406
23.595279,120.578637
23.595164,120.577884
23.595164,120.577884
23.596047,120.562382
23.596542,120.564304
23.596565,120.564543
23.596141,120.564523
23.595707,120.564699
23.595734,120.565069
23.595477,120.565441
23.595267,120.565465
23.594905,120.565454
23.594711,120.565541
23.595321,120.564923
23.595133,120.564608
23.594597,120.564477
23.594510,120.564261
23.594360,120.564417
23.594224,120.564220
23.593765,120.564381
23.593654,120.564650
23.593806,120.564760
23.593479,120.563941
23.593184,120.564272
23.593128,120.563406
23.592926,120.562915
23.592886,120.562647
23.592855,120.562280
23.593084,120.562155
23.593229,120.562103
23.593979,120.562025
23.594428,120.562073
23.594596,120.561986
23.595025,120.562169
23.595353,120.562107
23.594517,120.561806
23.594479,120.561527
23.592674,120.562010
23.592324,120.561640
23.591588,120.561619
23.591317,120.561720
23.591196,120.561194
23.591268,120.560749
23.591270,120.560517
23.591232,120.561040
23.591540,120.560786
23.591685,120.560624
23.592011,120.559317
23.590500,120.561513
23.589883,120.561393
23.589541,120.561113
23.588679,120.566489
23.589512,120.567697
23.589513,120.567934
23.589996,120.573377
23.589953,120.573684
23.587260,120.573546
23.587302,120.573914
23.586971,120.574213
23.592021,120.573425
23.594151,120.577474
23.594381,120.577553
23.595310,120.578093
23.595565,120.578933
23.593224,120.583034
23.593517,120.584126
23.593517,120.584126
23.590851,120.587068
23.591029,120.586780
23.591208,120.586622
23.591208,120.586363
23.591337,120.586011
23.591474,120.585685
23.591481,120.585633
23.603302,120.572567
23.603211,120.572269
23.601240,120.570686
23.601848,120.569188
23.594480,120.561570
23.604287,120.573691
23.594813,120.581513
23.591189,120.586417
23.595173,120.575684
23.594812,120.576888
23.595372,120.276887
23.591442,120.567971
23.591587,120.568171
23.592859,120.573505
23.592456,120.573438
23.616122,120.582137
23.615879,120.582331
23.615690,120.582590
23.615442,120.582472
23.615506,120.582952
23.615391,120.583373
23.615213,120.583816
23.615060,120.584204
23.614856,120.584370
23.614624,120.584598
23.614288,120.584908
23.614098,120.585266
23.613993,120.585680
23.613807,120.586099
23.613577,120.586431
23.613326,120.587049
23.611811,120.592950
23.611913,120.593036
23.611679,120.593283
23.611522,120.593479
23.611533,120.593884
23.610838,120.594388
23.610959,120.594483
23.610707,120.594882
23.610598,120.595145
23.610530,120.595642
23.610564,120.595981
23.610536,120.596239
23.610566,120.596335
23.610578,120.597434
23.611055,120.598555
23.611350,120.598760
23.611935,120.599037
23.612257,120.599433
23.612473,120.599751
23.612722,120.600092
23.613421,120.602575
23.613303,120.602972
23.613264,120.603258
23.613329,120.603505
23.613204,120.604006
23.613111,120.604388
23.613020,120.604688
23.613177,120.605401
23.613336,120.605429
23.613505,120.605473
23.612882,120.605612
23.613191,120.605977
23.613030,120.605801
23.613241,120.605752
23.612608,120.605569
23.612918,120.605973
23.612834,120.606119
23.612912,120.606267
23.612505,120.605882
23.612377,120.606182
23.612603,120.606468
23.612666,120.606615
23.612581,120.606706
23.611852,120.608332
23.611982,120.608445
23.612347,120.608795
23.612479,120.608825
23.612738,120.608704
23.613001,120.608752
23.613088,120.608377
23.612149,120.609039
23.612350,120.609173
23.612415,120.609139
23.612585,120.609374
23.612614,120.609492
23.612811,120.609636
23.611526,120.608554
23.611554,120.609306
23.611694,120.609213
23.611646,120.609694
23.611697,120.609834
23.611554,120.609940
23.611260,120.609798
23.611843,120.610142
23.611837,120.610540
23.612019,120.608001
23.611623,120.608182
23.611415,120.608395
23.611149,120.608515
23.610852,120.608654
23.610416,120.609285
23.609875,120.609394
23.610030,120.608752
23.609026,120.609189
23.608637,120.609346
23.608389,120.609450
23.607888,120.609551
23.607791,120.609212
23.607954,120.608386
23.607908,120.607795
23.607652,120.607944
23.607495,120.607997
23.607180,120.608050
23.607190,120.607912
23.607211,120.607663
23.606751,120.608157
23.606655,120.608380
23.606830,120.608482
23.606524,120.608543
23.606482,120.608530
23.606385,120.607981
23.606664,120.607921
23.606596,120.606638
23.606756,120.606274
23.607054,120.605123
23.604743,120.606222
23.607340,120.576651
23.607407,120.577118
23.607485,120.577508
23.607633,120.577860
23.607357,120.577798
23.607063,120.577695
23.607524,120.576474
23.608201,120.576584
23.608478,120.576635
23.608927,120.576661
23.609185,120.576883
23.609487,120.577251
23.609707,120.578037
23.609817,120.578450
23.609997,120.578881
23.610172,120.579236
23.610842,120.579726
23.611164,120.579919
23.610742,120.579807
23.610528,120.579658
23.610377,120.579655
23.611478,120.580150
23.611752,120.580323
23.612024,120.580580
23.612140,120.580874
23.612289,120.581210
23.612039,120.581225
23.611911,120.581171
23.611624,120.581356
23.611451,120.581514
23.612538,120.581498
23.612864,120.581582
23.612917,120.581773
23.612441,120.581653
23.612322,120.581897
23.612580,120.581918
23.585617,120.602826
23.612552,120.582460
23.612830,120.582515
23.613291,120.582335
23.613587,120.582249
23.613837,120.582243
23.612160,120.582886
23.612838,120.582766
23.612968,120.582698
23.613163,120.582930
23.613005,120.583432
23.613115,120.583916
23.613368,120.583901
23.613719,120.583829
23.613134,120.584350
23.613343,120.584373
23.612975,120.584881
23.613276,120.585102
23.613527,120.585085
23.613101,120.585959
23.612920,120.585872
23.612967,120.586332
23.584641,120.599897
23.611984,120.592788
23.606696,120.608518
23.606591,120.607971
23.606429,120.607706
23.604951,120.607013
23.604759,120.607001
